,COUNTRY,Country,Data type,Year,Value
0,AUS,Australia,Death within 30 days,2000,1817.0
1,AUS,Australia,Death within 30 days,2001,1737.0
2,AUS,Australia,Death within 30 days,2002,1715.0
3,AUS,Australia,Death within 30 days,2003,1621.0
4,AUS,Australia,Death within 30 days,2004,1583.0
5,AUS,Australia,Death within 30 days,2005,1627.0
6,AUS,Australia,Death within 30 days,2006,1602.0
7,AUS,Australia,Death within 30 days,2007,1603.0
8,AUS,Australia,Death within 30 days,2008,1437.0
9,AUS,Australia,Death within 30 days,2009,1490.0
10,AUS,Australia,Death within 30 days,2010,1350.0
11,AUS,Australia,Death within 30 days,2011,1277.0
12,AUS,Australia,Death within 30 days,2012,1299.0
13,AUS,Australia,Death within 30 days,2013,1185.0
14,AUS,Australia,Death within 30 days,2014,1151.0
15,AUS,Australia,Death within 30 days,2015,1205.0
16,AUS,Australia,Death within 30 days,2016,1294.0
17,AUS,Australia,Death within 30 days,2017,1225.0
18,AUS,Australia,Death within 30 days,2018,1136.0
19,AUS,Australia,Death within 30 days,2000,9.5486830962874
20,AUS,Australia,Death within 30 days,2001,9.0118129458921
21,AUS,Australia,Death within 30 days,2002,8.7970327070085
22,AUS,Australia,Death within 30 days,2003,8.2197739364406
23,AUS,Australia,Death within 30 days,2004,7.9417151355445
24,AUS,Australia,Death within 30 days,2005,8.0636991592937
25,AUS,Australia,Death within 30 days,2006,7.8333708050759006
26,AUS,Australia,Death within 30 days,2007,7.6965099520243
27,AUS,Australia,Death within 30 days,2008,6.762607851712401
28,AUS,Australia,Death within 30 days,2009,6.869001638556499
29,AUS,Australia,Death within 30 days,2010,6.1275205101728
30,AUS,Australia,Death within 30 days,2011,5.7161979772269
31,AUS,Australia,Death within 30 days,2012,5.7140431518029
32,AUS,Australia,Death within 30 days,2013,5.123631055499599
33,AUS,Australia,Death within 30 days,2014,4.9029451152140995
34,AUS,Australia,Death within 30 days,2015,5.0596248445635
35,AUS,Australia,Death within 30 days,2016,5.3491173356997
36,AUS,Australia,Death within 30 days,2017,4.979298313217
37,AUS,Australia,Death within 30 days,2018,4.5471488096077
38,AUT,Austria,Death within 30 days,2000,976.0
39,AUT,Austria,Death within 30 days,2001,958.0
40,AUT,Austria,Death within 30 days,2002,956.0
41,AUT,Austria,Death within 30 days,2003,931.0
42,AUT,Austria,Death within 30 days,2004,878.0
43,AUT,Austria,Death within 30 days,2005,768.0
44,AUT,Austria,Death within 30 days,2006,730.0
45,AUT,Austria,Death within 30 days,2007,691.0
46,AUT,Austria,Death within 30 days,2008,679.0
47,AUT,Austria,Death within 30 days,2009,633.0
48,AUT,Austria,Death within 30 days,2010,552.0
49,AUT,Austria,Death within 30 days,2011,523.0
50,AUT,Austria,Death within 30 days,2012,531.0
51,AUT,Austria,Death within 30 days,2013,455.0
52,AUT,Austria,Death within 30 days,2014,430.0
53,AUT,Austria,Death within 30 days,2015,479.0
54,AUT,Austria,Death within 30 days,2016,432.0
55,AUT,Austria,Death within 30 days,2017,414.0
56,AUT,Austria,Death within 30 days,2018,409.0
57,AUT,Austria,Death within 30 days,2000,12.196667260671001
58,AUT,Austria,Death within 30 days,2001,11.943728333290998
59,AUT,Austria,Death within 30 days,2002,11.855688001945
60,AUT,Austria,Death within 30 days,2003,11.493439789005
