,Code,Continent
0,AFG,AS
1,ALB,EU
2,ATA,AN
3,DZA,AF
4,ASM,OC
5,AND,EU
6,AGO,AF
7,ATG,NA
8,AZE,AS
9,AZE,EU
10,ARG,SA
11,AUS,OC
12,AUT,EU
13,BHS,NA
14,BHR,AS
15,BGD,AS
16,ARM,AS
17,ARM,EU
18,BRB,NA
19,BEL,EU
20,BMU,NA
21,BTN,AS
22,BOL,SA
23,BIH,EU
24,BWA,AF
25,BVT,AN
26,BRA,SA
27,BLZ,NA
28,IOT,AF
29,SLB,OC
30,VGB,NA
31,BRN,AS
32,BGR,EU
33,MMR,AS
34,BDI,AF
35,BLR,EU
36,KHM,AS
37,CMR,AF
38,CAN,NA
39,CPV,AF
40,CYM,NA
41,CAF,AF
42,LKA,AS
43,TCD,AF
44,CHL,SA
45,CHN,AS
46,TWN,AS
47,CXR,AS
48,CCK,AS
49,COL,SA
50,COM,AF
51,MYT,AF
52,COG,AF
53,COD,AF
54,COK,OC
55,CRI,NA
56,HRV,EU
57,CUB,NA
58,CYP,AS
59,CYP,EU
60,CZE,EU
61,BEN,AF
62,DNK,EU
63,DMA,NA
64,DOM,NA
65,ECU,SA
66,SLV,NA
67,GNQ,AF
68,ETH,AF
69,ERI,AF
70,EST,EU
71,FRO,EU
72,FLK,SA
73,SGS,AN
74,FJI,OC
75,FIN,EU
76,ALA,EU
77,FRA,EU
78,GUF,SA
79,PYF,OC
80,ATF,AF
81,DJI,AF
82,GAB,AF
83,GEO,AS
84,GEO,EU
85,GMB,AF
86,DEU,EU
87,GHA,AF
88,GIB,EU
89,KIR,OC
90,GRC,EU
91,GRL,NA
92,GRD,NA
93,GLP,NA
94,GUM,OC
95,GTM,NA
96,GIN,AF
97,GUY,SA
98,HTI,NA
99,HMD,AN
100,VAT,EU
101,HND,NA
102,HKG,AS
103,HUN,EU
104,ISL,EU
105,IND,AS
106,IDN,AS
107,IRN,AS
108,IRQ,AS
109,IRL,EU
110,ISR,AS
111,ITA,EU
112,CIV,AF
113,JAM,NA
114,JPN,AS
115,KAZ,AS
116,KAZ,EU
117,JOR,AS
118,KEN,AF
119,PRK,AS
120,KOR,AS
121,d>X,EU
122,KWT,AS
123,KGZ,AS
124,LAO,AS
125,LBN,AS
126,LSO,AF
127,LVA,EU
128,LBR,AF
129,LBY,AF
130,LIE,EU
131,LTU,EU
132,LUX,EU
133,MAC,AS
134,MDG,AF
135,MWI,AF
136,MYS,AS
137,MDV,AS
138,MLI,AF
139,MLT,EU
140,MTQ,NA
141,MRT,AF
142,MUS,AF
143,MEX,NA
144,MCO,EU
145,MNG,AS
146,MDA,EU
147,MNE,EU
148,MSR,NA
149,MAR,AF
150,MOZ,AF
151,OMN,AS
152,NAM,AF
153,NRU,OC
154,NPL,AS
155,NLD,EU
156,CUW,NA
157,ABW,NA
158,SXM,NA
159,BES,NA
160,NCL,OC
161,VUT,OC
162,NZL,OC
163,NIC,NA
164,NER,AF
165,NGA,AF
166,NIU,OC
167,NFK,OC
168,NOR,EU
169,MNP,OC
170,UMI,NA
171,UMI,OC
172,FSM,OC
173,MHL,OC
174,PLW,OC
175,PAK,AS
176,PSE,AS
177,PAN,NA
178,PNG,OC
179,PRY,SA
180,PER,SA
181,PHL,AS
182,PCN,OC
183,POL,EU
184,PRT,EU
185,GNB,AF
186,TLS,AS
187,PRI,NA
188,QAT,AS
189,REU,AF
190,ROU,EU
191,RUS,AS
192,RUS,EU
193,RWA,AF
194,BLM,NA
195,SHN,AF
196,KNA,NA
197,AIA,NA
198,LCA,NA
199,MAF,NA
200,SPM,NA
201,VCT,NA
202,SMR,EU
203,STP,AF
204,SAU,AS
205,SEN,AF
206,SRB,EU
207,SYC,AF
208,SLE,AF
209,SGP,AS
210,SVK,EU
211,VNM,AS
212,SVN,EU
213,SOM,AF
214,ZAF,AF
215,ZWE,AF
216,ESP,EU
217,SSD,AF
218,SDN,AF
219,ESH,AF
220,SUR,SA
221,SJM,EU
222,SWZ,AF
223,SWE,EU
224,CHE,EU
225,SYR,AS
226,TJK,AS
227,THA,AS
228,TGO,AF
229,TKL,OC
230,TON,OC
231,TTO,NA
232,ARE,AS
233,TUN,AF
234,TUR,AS
235,TUR,EU
236,TKM,AS
237,TCA,NA
238,TUV,OC
239,UGA,AF
240,UKR,EU
241,MKD,EU
242,EGY,AF
243,EGY,AS
244,GBR,EU
245,GGY,EU
246,JEY,EU
247,IMN,EU
248,TZA,AF
249,USA,NA
250,VIR,NA
251,BFA,AF
252,URY,SA
253,UZB,AS
254,VEN,SA
255,WLF,OC
256,WSM,OC
257,YEM,AS
258,ZMB,AF
259,nul,AS
260,nul,AS
