Country,Year,COUNTRY,Value,Continent
Argentina,2008,ARG,5759.0,SA
Argentina,2009,ARG,5219.0,SA
Argentina,2010,ARG,5094.0,SA
Argentina,2011,ARG,5040.0,SA
Argentina,2012,ARG,5074.0,SA
Argentina,2013,ARG,5209.0,SA
Argentina,2014,ARG,5279.0,SA
Argentina,2016,ARG,5550.0,SA
Argentina,2017,ARG,5300.0,SA
Argentina,2018,ARG,5500.0,SA
Australia,2000,AUS,1817.0,OC
Australia,2001,AUS,1737.0,OC
Australia,2002,AUS,1715.0,OC
Australia,2003,AUS,1621.0,OC
Australia,2004,AUS,1583.0,OC
Australia,2005,AUS,1627.0,OC
Australia,2006,AUS,1602.0,OC
Australia,2007,AUS,1603.0,OC
Australia,2008,AUS,1437.0,OC
Australia,2009,AUS,1490.0,OC
Australia,2010,AUS,1350.0,OC
Australia,2011,AUS,1277.0,OC
Australia,2012,AUS,1299.0,OC
Australia,2013,AUS,1185.0,OC
Australia,2014,AUS,1151.0,OC
Australia,2015,AUS,1205.0,OC
Australia,2016,AUS,1294.0,OC
Australia,2017,AUS,1225.0,OC
Australia,2018,AUS,1136.0,OC
Austria,2000,AUT,976.0,EU
Austria,2001,AUT,958.0,EU
Austria,2002,AUT,956.0,EU
Austria,2003,AUT,931.0,EU
Austria,2004,AUT,878.0,EU
Austria,2005,AUT,768.0,EU
Austria,2006,AUT,730.0,EU
Austria,2007,AUT,691.0,EU
Austria,2008,AUT,679.0,EU
Austria,2009,AUT,633.0,EU
Austria,2010,AUT,552.0,EU
Austria,2011,AUT,523.0,EU
Austria,2012,AUT,531.0,EU
Austria,2013,AUT,455.0,EU
Austria,2014,AUT,430.0,EU
Austria,2015,AUT,479.0,EU
Austria,2016,AUT,432.0,EU
Austria,2017,AUT,414.0,EU
Austria,2018,AUT,409.0,EU
Belgium,2000,BEL,1470.0,EU
Belgium,2001,BEL,1486.0,EU
Belgium,2002,BEL,1353.0,EU
Belgium,2003,BEL,1213.0,EU
Belgium,2004,BEL,1162.0,EU
